College Name,College Code,Merit Marks,Gender,Candidate Type,Category,Home University,HSC Eligibility,Fees Paid,CAP Round,BRANCH
"DY PATIL IET,PIMPRI",6207,71.6,F,TYPE A,OPEN,NAGPUR,78,30,ROUND-2,ELECTRICAL ENGINEERING
"PES MODERN COE, PUNE",6139,65.64,M,TYPE A,SBC,PUNE,58.67,243,COUNSELING ROUND,COMPUTER
"DY PATIL IET,PIMPRI",6207,35.33,F,TYPE A,SC,S.R.T.M.U.,46,550,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
"MMMIT, LOHGAON, PUNE",6203,75.33,F,TYPE A,OPEN,NAGPUR,80.33,1000,ROUND 2,COMPUTER
"MMMIT, LOHGAON, PUNE",6203,65.22,M,TYPE A,OPEN,BAMU,56.33,1000,ROUND 2,ENTC
"MAEER MIT, PUNE",6151,64.75,M,OMS,OPEN,OHU,64.67,1000,INSTITUTE LEVEL,MECHANICAL ENGINEERING
SINHGAD NARHE,6182,44.42,M,TYPE A,NT-D,BAMU,67.67,1000,COUNSELING ROUND,CIVIL
KJ TRINITY COER,6184,43.34,M,TYPE A,SC,PUNE,53,1000,ROUND 1,COMPUTER
"MMMIT, LOHGAON, PUNE",6203,40.53,M,TYPE A,OPEN,PUNE,57,1000,ROUND 2,MECHANICAL
"MMCOE, KARVENAGAR, PUNE",6156,35.94,M,TYPE A,OBC,PUNE,48.67,1000,COUNSELING ROUND,MECHANICAL
KJ TRINITY COER,6184,34.85,M,TYPE A,SC,PUNE,48.33,1000,ROUND 2,MECHANICAL
"PES MODERN COE, PUNE",6139,65.62,M,TYPE A,NT-B,AMRAVATI,71.67,1285,COUNSELING ROUND,ELECTRICAL
"PES MODERN COE, PUNE",6139,62.71,F,TYPE A,SC,PUNE,68.83,1285,ROUND 1,MECHANICAL
"DY PATIL IET,PIMPRI",6207,44.1,F,TYPE A,OBC,PUNE,48.67,1500,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
"KJCOEMR, PISOLI",6320,70.16,M,TYPE A,OBC,PUNE,68.83,2000,ROUND 1,MECHANICAL
SINHGAD NARHE,6182,59.8,M,TYPE A,DT/VJ,PUNE,59,2000,COUNSELING ROUND,CIVIL
"INDIRA COEM, PUNE",6179,43.57,M,TYPE A,OPEN,SRTMU,61,2000,ROUND 2,MECHANICAL
KJ TRINITY COER,6184,31.6,M,TYPE A,NT-C,PUNE,47,2133,ROUND 2,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,76.62,M,TYPE A,NT-C,PUNE,66.67,2157,COUNSELING ROUND,COMPUTER ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,74.74,M,TYPE A,SBC,SRTMU,69.67,2157,ROUND 2,CIVIL ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,6175,69.03,M,TYPE A,NT-C,SRTMU,64,2157,COUNSELING  ROUND,INFORMATION TECHNOLOGY
"VIT, PUNE",6273,89.37,M,TYPE B,SC,NAGPUR,97.33,2315,COUNSELING ROUND,ENTC
SINHGAD KONDHWA (BK),6187,53.5,M,TYPE B,NT-C,AMRAVATI,76,2400,COUNSELING ROUND,MECHANICAL
"DY PATIL IET,PIMPRI",6207,39.35,M,TYPE A,SC,PUNE,58,2500,ROUND-2,MECHANICAL ENGINEERING
KJ TRINITY COER,6184,24.76,M,TYPE A,NT-D,SHIVAJI,45,2590,ROUND 2,COMPUTER
"MMCOE, KARVENAGAR, PUNE",6156,61.05,M,TYPE A,DT/VJ,NORTH MAHARASHTRA,60.33,3000,ROUND 2,ELECTRICAL
"AISSMS,Pune",6282,58.52,M,TYPE A ,OPEN,PUNE,60.17,3000,INSITITUT LEVEL,COMPUTER
KJ TRINITY COER,6184,35.82,M,TYPE A,SC,SOLAPUR,49.33,3000,ROUND 2,MECHANICAL
"MMCOE, KARVENAGAR, PUNE",6156,20.72,M,TYPE A,SC,AMRAVATI,50,3000,INSTITUTE LEVEL,MECHANICAL
"PVG CET, PUNE",6274,87.53,M,TYPE A,SC,MUMBAI,80,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,84.71,M,TYPE A,SC,SHIVAJI,73.33,3108,ROUND 1,COMPUTER
"PVG CET, PUNE",6274,83.31,M,TYPE A,SC,PUNE,81.83,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,83.17,M,TYPE A,SC,PUNE,73.83,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,78.83,M,TYPE A,SC,PUNE,83.17,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,78.67,M,TYPE A,SC,AMRAVATI,73.67,3108,COUNSELING ROUND,IT
"PVG CET, PUNE",6274,74.49,M,TYPE A,SC,AMRAVATI,63.67,3108,ROUND 2,ELECTRICAL
"PVG CET, PUNE",6274,71.44,M,TYPE A,SC,PUNE,80.33,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,71.25,F,TYPE A,SC,MUMBAI,67.83,3108,ROUND 2,ENTC
"PVG CET, PUNE",6274,69.09,M,TYPE A,SC,PUNE,72.67,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,69.05,M,TYPE A,SC,SOLAPUR,61.67,3108,ROUND 1,IT
"PVG CET, PUNE",6274,68.74,F,TYPE A,SC,PUNE,67,3108,ROUND 2,COMPUTER
"PVG CET, PUNE",6274,68,F,TYPE A,SC,PUNE,73.33,3108,ROUND 1,ELECTRICAL
"PVG CET, PUNE",6274,65.81,M,TYPE A,SC,NAGPUR,69.17,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,65.53,F,TYPE A,SC,PUNE,61.17,3108,ROUND 1,COMPUTER
"PVG CET, PUNE",6274,64.43,F,TYPE A,SC,NAGPUR,76,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,64.26,M,TYPE A,SC,PUNE,75.83,3108,ROUND 2,ELECTRICAL
"PVG CET, PUNE",6274,64.09,M,TYPE A,SC,PUNE,70,3108,ROUND 1,COMPUTER
"PVG CET, PUNE",6274,64.09,M,TYPE A,SC,NAGPUR,62.67,3108,ROUND 2,ENTC
"PVG CET, PUNE",6274,61.34,M,TYPE A,SC,PUNE,50.67,3108,ROUND 1,COMPUTER
"PVG CET, PUNE",6274,59.92,M,TYPE A,SC,PUNE,50.67,3108,ROUND 2,ENTC
"PVG CET, PUNE",6274,59.28,M,TYPE A,SC,PUNE,65.33,3108,ROUND 2,COMPUTER
"PVG CET, PUNE",6274,58.14,M,TYPE A,SC,BAMU,57.17,3108,ROUND 2,ENTC
"PVG CET, PUNE",6274,57.98,M,TYPE A,SC,PUNE,52,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,54.89,F,TYPE A,SC,PUNE,61.33,3108,ROUND 1,ELECTRICAL
"PVG CET, PUNE",6274,54.03,F,TYPE A,SC,MUMBAI,57.83,3108,ROUND 2,MECHANICAL
"PVG CET, PUNE",6274,53.93,M,TYPE A,SC,PUNE,55.33,3108,ROUND 2,ELECTRICAL
"PVG CET, PUNE",6274,53.46,F,TYPE A,SC,PUNE,53.33,3108,ROUND 1,MECHANICAL
"PVG CET, PUNE",6274,51.15,F,TYPE A,SC,PUNE,48,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,44.48,F,TYPE A,SC,PUNE,51,3108,ROUND 1,IT
"PVG CET, PUNE",6274,43.78,M,TYPE A,SC,PUNE,61,3108,ROUND 2,ENTC
"PVG CET, PUNE",6274,42.73,M,TYPE A,SC,PUNE,60.67,3108,ROUND 2,COMPUTER
"PVG CET, PUNE",6274,42.6,M,TYPE A,SC,PUNE,48,3108,ROUND 1,IT
"PVG CET, PUNE",6274,42.12,F,TYPE A,SC,PUNE,60.67,3108,ROUND 1,IT
"PVG CET, PUNE",6274,42.12,M,TYPE A,SC,PUNE,53.33,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,35.89,M,TYPE A,SC,PUNE,60.33,3108,ROUND 1,IT
"PVG CET, PUNE",6274,35,F,TYPE A,SC,PUNE,56.67,3108,ROUND 2,MECHANICAL
"PVG CET, PUNE",6274,34.6,M,TYPE A,SC,AMRAVATI,60.83,3108,ROUND 1,PRINTING
"PVG CET, PUNE",6274,31.26,M,TYPE A,SC,PUNE,50.83,3108,ROUND 1,ENTC
"PVG CET, PUNE",6274,19.06,M,TYPE A,SC,PUNE,45.67,3108,ROUND 1,PRINTING
KJ TRINITY COER,6184,47.51,M,TYPE A,OPEN,PUNE,57,3133,ROUND 1,IT
"AISSMS,Pune",6278,86.3204,M,TYPE A,OBC,NORTH MAHARASHTRA,74,3462,ROUND 1,CHEMICAL
"AISSMS,Pune",6278,58.99143775,M,TYPE A,DT/VJ,PUNE,54.33,3462,COUNSELING ROUND,COMPUTER
"AISSMS,Pune",6278,19.09883357,M,TYPE A,NT-D,PUNE,56.67,3462,COUNSELING ROUND,CHEMICAL
KJ TRINITY COER,6184,425958,M,TYPE A,OPEN,PUNE,79,3633,ROUND 2,MECHANICAL
KJ TRINITY COER,6184,48.06,M,TYPE A,NT-C,PUNE,63,3633,ROUND 2,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,86.85,M,TYPE A,OPEN,PUNE,84,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,86.4,M,TYPE A,OPEN,PUNE,82.17,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,85.65,M,TYPE A,OPEN,PUNE,88.67,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,82.6,M,TYPE A,OPEN,MUMBAI,77,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,82.49,M,TYPE A,OPEN,S.R.T.M.U.,71.67,3937,ROUND-1,MECHANICAL  ENGINEERING
"PCCOE, Ravet",6822,80.3232,M,TYPE B,OPEN,S.R.T.M.U,90.28,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,77.81,F,TYPE A,OBC,PUNE,90.67,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,77.59,M,TYPE A,OBC,PUNE,76.83,3937,ROUND-2,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,76.87,M,TYPE A,OPEN,PUNE,74.33,3937,ROUND-1,COMPUTER  ENGINEERING
"PCCOE, Ravet",6822,76.7048,M,TYPE A,OPEN,S.R.T.M.U,70.5,3937,ROUND-1,CIVIL
"PCCOE, Ravet",6822,75.8817,M,TYPE A,OPEN,S.R.T.M.U,62.33,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,72.97,M,TYPE A,NT-C,PUNE,65.83,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,72.18,M,TYPE A,SBC,PUNE,61.33,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,71.57,M,TYPE A,OPEN,SOLAPUR,60.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,69.97,M,TYPE A,NT-B,PUNE,76,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,69.45,M,TYPE A,SC,PUNE,76.67,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,67.23,F,TYPE A,SC,PUNE,61,3937,ROUND-1,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,66.69,M,TYPE A,NT-C,PUNE,70.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,65.85,M,TYPE A,SC,PUNE,49.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,65.3,F,TYPE A,SC,PUNE,72.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,62.39,F,TYPE A,NT-C,PUNE,63.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,62.37,M,TYPE A,NT-C,PUNE,74.67,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,59.9,M,TYPE A,NT-D,PUNE,50,3937,ROUND 1,MACHANICAL  ENGINEERING
"PCCOE, Ravet",6822,59.4668,M,TYPE A,NT-C,PUNE,64,3937,ROUND-1,CIVIL
"PCCOE, Ravet",6822,59.0044,F,TYPE A,NT-D,PUNE,64,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,58.71,M,TYPE A,DT/VJ,PUNE,61.67,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,57.92,M,TYPE A,SC,B.A.M.U.,79,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,57.16,M,TYPE A,NT-C,PUNE,54.67,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,55.2,M,TYPE A,SC,PUNE,47.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,53.27,F,TYPE A,SC,PUNE,61,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,50.45,M,TYPE A,NT-C,PUNE,57.5,3937,ROUND-1,MECHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,50.03,F,TYPE A,OBC,PUNE,57.67,3937,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,50.02,F,TYPE A,SC,PUNE,61.83,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,49.44,M,TYPE A,SBC,PUNE,58.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,49.12,M,TYPE A,SC,NORTH MAHARASHTRA,71,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,48.98,M,TYPE A,SC,PUNE,60.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,48.95,M,TYPE A,SC,PUNE,59.67,3937,ROUND-2,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,48.95,M,TYPE A,NT-C,S.R.T.M.U.,59,3937,ROUND 2,MACHANICAL  ENGINEERING
"PCCOE, Ravet",6822,47.6362,M,TYPE A,SC,PUNE,51.33,3937,ROUND-1,CIVIL
"PCCOE, Ravet",6822,47.14955955,F,TYPE A,NT-C,B.A.M.U,71,3937,ROUND-2,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,46.23,M,TYPE A,SC,PUNE,63.33,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,45.91,F,TYPE A,SBC,PUNE,56.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,44.85,M,TYPE A,DT/VJ,AMRAVATI,66.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,44.23,M,TYPE A,NT-D,S.R.T.M.U.,54.33,3937,ROUND-1,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,44.2,M,TYPE A,SC,S.R.T.M.U.,50.67,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,43.9,M,TYPE A,DT/VJ,SHIVAJI,54.67,3937,ROUND 1,MACHANICAL  ENGINEERING
"PCCOE, Ravet",6822,43.6026,M,TYPE A,SC,PUNE,62.83,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,40.66,M,TYPE A,SC,PUNE,49.67,3937,ROUND 2,MACHANICAL  ENGINEERING
"PCCOE, Ravet",6822,39.9878,F,TYPE A,SC,PUNE,68.33,3937,ROUND-1,CIVIL
"PCCOE, Ravet",6822,39.4985,M,TYPE A,SC,PUNE,62.67,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,38.73,M,TYPE A,SC,SHIVAJI,66,3937,ROUND 2,MACHANICAL  ENGINEERING
"PCCOE, Ravet",6822,38.61708426,M,TYPE A,SC,PUNE,48,3937,ROUND-2,CIVIL
"PCCOE, Ravet",6822,36.54287256,M,TYPE A,ST,NAGPUR,54.33,3937,ROUND-2,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,34.7,M,TYPE A,ST,AMRAVATI,60,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,33.38,F,TYPE A,SC,PUNE,46,3937,ROUND-1,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,32.21,M,TYPE A,SBC,PUNE,47,3937,ROUND 1,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,31.48,M,TYPE A,SC,PUNE,46.67,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,28.73,M,TYPE A,DT/VJ,PUNE,46.67,3937,ROUND 2,MACHANICAL  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,25.47,F,TYPE A,SC,PUNE,50.5,3937,ROUND-1,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,24.78,M,TYPE A,SC,PUNE,56.33,3937,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,24.13,F,TYPE A,SC,PUNE,53.33,3937,ROUND-2,COMPUTER  ENGINEERING
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,22.98,M,TYPE A,SC,PUNE,48.33,3937,ROUND-1,ELECTRONICS AND TELCOMMUNICATION ENGG
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,18.97,M,TYPE A,NT-D,PUNE,48.33,3937,ROUND-2,COMPUTER  ENGINEERING
"PCCOE, Ravet",6822,14.3861,M,TYPE A,ST,PUNE,45.33,3937,ROUND-1,CIVIL
PIMPRI CHINCHWAD COLLEGE OF ENGG AND RESEARCH,6822,5.86,M,TYPE A,SC,PUNE,48.83,3937,ROUND-2,ELECTRONICS AND TELCOMMUNICATION ENGG
DY PATIL AKURDI,6272,58.18,M,TYPE A,DT/VJ,SRTMU,50.67,4000,COUNSELING ROUND,ENTC
SINHGAD NARHE,6182,43.86,M,TYPE A,OPEN,PUNE,63.17,4000,ROUND 1,ENTC
"MMMIT, LOHGAON, PUNE",6203,42.28,M,TYPE A,OPEN,PUNE,61.4,4000,ROUND 2,MECHANICAL
"SINHGAD SKN, VADGAON",6178,38.92,F,TYPE A,NT-C,PUNE,52.33,4000,ROUND 1,ENTC
KJ TRINITY COER,6184,42.79,M,TYPE A,OBC,PUNE,52.67,4133,ROUND 2,MECHANICAL
KJ TRINITY COER,6184,41.17,M,TYPE A,SC,GONDWANA,52.33,4133,ROUND 2,MECHANICAL
KJ TRINITY COER,6184,41.06,M,TYPE A,SC,SRTMU,56.67,4133,ROUND 2,CIVIL
"PES MODERN COE, PUNE",6139,90.15,M,TYPE A,SC,PUNE,77,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,78.22,F,TYPE A,SC,PUNE,68,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,74.84,M,TYPE A,SC,PUNE,82,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,71.57,M,TYPE A,SC,NORTH MAHARASHTRA,67.33,4435,ROUND 2,ELECTRICAL
"PES MODERN COE, PUNE",6139,71.29,M,TYPE A,SC,NORTH MAHARASHTRA,82.33,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,70.81,F,TYPE A,SC,SRTMU,66.33,4435,ROUND 2,COMPUTER
"PES MODERN COE, PUNE",6139,70.44,M,TYPE A,SC,AMRAVATI,67.33,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,67.08,F,TYPE A,SC,PUNE,64.33,4435,ROUND 1,ELECTRICAL
"PES MODERN COE, PUNE",6139,66.69,F,TYPE A,SC,PUNE,70,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,65.93,M,TYPE A,SC,NORTH MAHARASHTRA,67,4435,ROUND 2,MECHANICAL
"PES MODERN COE, PUNE",6139,64.4,M,TYPE A,SC,AMRAVATI,53.67,4435,ROUND 2,ELECTRICAL
"PES MODERN COE, PUNE",6139,63.77,M,TYPE A,SC,AMRAVATI,73.17,4435,ROUND 1,ELECTRICAL
"PES MODERN COE, PUNE",6139,63.44,M,TYPE A,SC,PUNE,57.33,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,61.95,M,TYPE A,SC,NA,68.67,4435,ROUND 1,ELECTRICAL
"PES MODERN COE, PUNE",6139,61.9,M,TYPE B,SC,NORTH MAHARASHTRA,49.5,4435,ROUND 2,MECHANICAL
"PES MODERN COE, PUNE",6139,61.78,M,TYPE A,SC,BAMU,64.33,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,60.62,M,TYPE A,SC,PUNE,67,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,59.75,M,TYPE A,SC,PUNE,66,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,59.25,F,TYPE A,SC,PUNE,72.67,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,59,M,TYPE A,SC,PUNE,73.5,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,55.63,F,TYPE A,SC,SHIVAJI,55.67,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,54.92,M,TYPE A,SC,PUNE,49.67,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,54.87,M,TYPE A,SC,PUNE,52.33,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,54.44,M,TYPE A,SC,PUNE,50.33,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,54.37,M,TYPE A,SC,AMRAVATI,64.33,4435,ROUND 1,IT
"PES MODERN COE, PUNE",6139,53.67,M,TYPE A,SC,AMRAVATI,61.33,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,52.18,F,TYPE A,SC,PUNE,53.67,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,52.02,F,TYPE A,SC,MUMBAI,68,4435,COUNSELING ROUND,ELECTRICAL
"PES MODERN COE, PUNE",6139,51.72,M,TYPE A,SC,SOLAPUR,59.33,4435,ROUND 1,IT
"PES MODERN COE, PUNE",6139,48.88,F,TYPE A,SC,PUNE,56,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,48.24,M,TYPE A,SC,PUNE,56,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,47.63,M,TYPE A,SC,PUNE,51.33,4435,ROUND 2,MECHANICAL
"PES MODERN COE, PUNE",6139,47.62,M,TYPE A,SC,PUNE,52.33,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,47.39,F,TYPE A,SC,MUMBAI,70,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,47.1,M,TYPE A,SC,NAGPUR,61.17,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,46.88,M,TYPE A,SC,PUNE,61.33,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,45.86,M,TYPE A,SC,PUNE,52.33,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,45.49,F,TYPE A,SC,PUNE,47.67,4435,ROUND 1,ENTC
"PES MODERN COE, PUNE",6139,44.5,F,TYPE A,SC,PUNE,58,4435,ROUND 1,IT
"PES MODERN COE, PUNE",6139,44.26,M,TYPE A,SC,PUNE,61.33,4435,ROUND 1,COMPUTER
"PES MODERN COE, PUNE",6139,44.05,M,TYPE A,SC,PUNE,47.33,4435,ROUND 1,ELECTRICAL
"PES MODERN COE, PUNE",6139,43.68,M,TYPE A,SC,PUNE,49,4435,ROUND 2,COMPUTER
"PES MODERN COE, PUNE",6139,43.57,F,TYPE A,SC,SRTMU,52.67,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,43.14,M,TYPE A,SC,NORTH MAHARASHTRA,63,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,41.8,F,TYPE A,SC,PUNE,49,4435,ROUND 2,ELECTRICAL
"PES MODERN COE, PUNE",6139,41.8,M,TYPE A,SC,PUNE,44.67,4435,ROUND 1,IT
"PES MODERN COE, PUNE",6139,40.69,F,TYPE A,SC,PUNE,56.33,4435,ROUND 2,COMPUTER
"PES MODERN COE, PUNE",6139,34.13,M,TYPE A,OPEN,PUNE,50.17,4435,ROUND 2,COMPUTER
"PES MODERN COE, PUNE",6139,33.63,M,TYPE A,SC,AMRAVATI,49.33,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,33.23,M,TYPE A,SC,PUNE,53.33,4435,ROUND 2,COMPUTER
"PES MODERN COE, PUNE",6139,31.52,M,TYPE A,SC,PUNE,48,4435,ROUND 1,ELECTRICAL
"PES MODERN COE, PUNE",6139,27.95,M,TYPE A,SC,MUMBAI,45.33,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,25.98,F,TYPE A,SC,SRTMU,45.67,4435,ROUND 2,ELECTRICAL
"PES MODERN COE, PUNE",6139,25.84,F,TYPE A,SC,PUNE,52,4435,ROUND 2,ELECTRICAL
"PES MODERN COE, PUNE",6139,25.05,F,TYPE A,SC,NORTH MAHARASHTRA,50,4435,ROUND 2,ENTC
"PES MODERN COE, PUNE",6139,24.66,M,TYPE A,SC,PUNE,47.83,4435,ROUND 1,ENTC
"PES MODERN COE, PUNE",6139,24.44,F,TYPE B,SC,PUNE,59,4435,ROUND 1,MECHANICAL
"PES MODERN COE, PUNE",6139,24.41,M,TYPE A,SC,PUNE,46,4435,ROUND 1,ELECTRICAL
